"CDPTO","DPTO","CMUN","MUNIC"
1,"SAN SALVADOR",1,"SAN SALVADOR"
1,"SAN SALVADOR",10,"SAN MARTIN"
1,"SAN SALVADOR",11,"PANCHIMALCO"
1,"SAN SALVADOR",12,"AGUILARES"
1,"SAN SALVADOR",13,"TONACATEPEQUE"
1,"SAN SALVADOR",14,"SANTO TOMAS"
1,"SAN SALVADOR",15,"SANTIAGO TEXACUANGOS"
1,"SAN SALVADOR",16,"EL PAISNAL"
1,"SAN SALVADOR",17,"GUAZAPA"
1,"SAN SALVADOR",18,"AYUTUXTEPEQUE"
1,"SAN SALVADOR",19,"ROSARIO DE MORA"
1,"SAN SALVADOR",2,"CIUDAD DELGADO"
1,"SAN SALVADOR",3,"MEJICANOS"
1,"SAN SALVADOR",4,"SOYAPANGO"
1,"SAN SALVADOR",5,"CUSCATANCINGO"
1,"SAN SALVADOR",6,"SAN MARCOS"
1,"SAN SALVADOR",7,"ILOPANGO"
1,"SAN SALVADOR",8,"NEJAPA"
1,"SAN SALVADOR",9,"APOPA"
10,"CUSCATLAN",1,"COJUTEPEQUE"
10,"CUSCATLAN",10,"SAN CRISTOBAL"
10,"CUSCATLAN",11,"SANTA CRUZ MICHAPA"
10,"CUSCATLAN",12,"SAN BARTOLOME PERULAPIA"
10,"CUSCATLAN",13,"SAN RAMON"
10,"CUSCATLAN",14,"EL ROSARIO"
10,"CUSCATLAN",15,"ORATORIO DE CONCEPCION"
10,"CUSCATLAN",16,"SANTA CRUZ ANALQUITO"
10,"CUSCATLAN",2,"SUCHITOTO"
10,"CUSCATLAN",3,"SAN PEDRO PERULAPAN"
10,"CUSCATLAN",4,"SAN JOSE GUAYABAL"
10,"CUSCATLAN",5,"TENANCINGO"
10,"CUSCATLAN",6,"SAN RAFAEL CEDROS"
10,"CUSCATLAN",7,"CANDELARIA"
10,"CUSCATLAN",8,"EL CARMEN"
10,"CUSCATLAN",9,"MONTE SAN JUAN"
11,"AHUACHAPAN",1,"AHUACHAPAN"
11,"AHUACHAPAN",10,"SAN LORENZO"
11,"AHUACHAPAN",11,"TURIN"
11,"AHUACHAPAN",12,"EL REFUGIO"
11,"AHUACHAPAN",2,"ATIQUIZAYA"
11,"AHUACHAPAN",3,"SAN FRANCISCO MENENDEZ"
11,"AHUACHAPAN",4,"TACUBA"
11,"AHUACHAPAN",5,"CONCEPCION DE ATACO"
11,"AHUACHAPAN",6,"JUJUTLA"
11,"AHUACHAPAN",7,"GUAYMANGO"
11,"AHUACHAPAN",8,"APANECA"
11,"AHUACHAPAN",9,"SAN PEDRO PUXTLA"
12,"MORAZAN",1,"SAN FRANCISCO GOTERA"
12,"MORAZAN",10,"CHILANGA"
12,"MORAZAN",11,"MEANGUERA"
12,"MORAZAN",12,"TOROLA"
12,"MORAZAN",13,"SAN SIMON"
12,"MORAZAN",14,"DELICIAS DE CONCEPCION"
12,"MORAZAN",15,"JOATECA"
12,"MORAZAN",16,"ARAMBALA"
12,"MORAZAN",17,"LOLOTIQUILLO"
12,"MORAZAN",18,"YAMABAL"
12,"MORAZAN",19,"YOLOAIQUIN"
12,"MORAZAN",2,"JOCORO"
12,"MORAZAN",20,"SAN CARLOS"
12,"MORAZAN",21,"EL ROSARIO"
12,"MORAZAN",22,"PERQUIN"
12,"MORAZAN",23,"SENSEMBRA"
12,"MORAZAN",24,"GUALOCOCTI"
12,"MORAZAN",25,"SAN FERNANDO"
12,"MORAZAN",26,"SAN ISIDRO"
12,"MORAZAN",3,"CORINTO"
12,"MORAZAN",4,"SOCIEDAD"
12,"MORAZAN",5,"CACAOPERA"
12,"MORAZAN",6,"GUATAJIAGUA"
12,"MORAZAN",7,"EL DIVISADERO"
12,"MORAZAN",8,"JOCOAITIQUE"
12,"MORAZAN",9,"OSICALA"
13,"SAN VICENTE",1,"SAN VICENTE"
13,"SAN VICENTE",10,"GUADALUPE"
13,"SAN VICENTE",11,"SANTO DOMINGO"
13,"SAN VICENTE",12,"SAN CAYETANO ISTEPEQUE"
13,"SAN VICENTE",13,"TEPETITAN"
13,"SAN VICENTE",2,"TECOLUCA"
13,"SAN VICENTE",3,"SAN SEBASTIAN"
13,"SAN VICENTE",4,"APASTEPEQUE"
13,"SAN VICENTE",5,"SAN ESTEBAN CATARINA"
13,"SAN VICENTE",6,"SAN ILDEFONSO"
13,"SAN VICENTE",7,"SANTA CLARA"
13,"SAN VICENTE",8,"SAN LORENZO"
13,"SAN VICENTE",9,"VERAPAZ"
14,"CABAÑAS",1,"SENSUNTEPEQUE"
14,"CABAÑAS",2,"ILOBASCO"
14,"CABAÑAS",3,"VICTORIA"
14,"CABAÑAS",4,"SAN ISIDRO"
14,"CABAÑAS",5,"JUTIAPA"
14,"CABAÑAS",6,"TEJUTEPEQUE"
14,"CABAÑAS",7,"DOLORES"
14,"CABAÑAS",8,"CINQUERA"
14,"CABAÑAS",9,"GUACOTECTI"
2,"SANTA ANA",1,"SANTA ANA"
2,"SANTA ANA",10,"SANTIAGO DE LA FRONTERA"
2,"SANTA ANA",11,"EL PORVENIR"
2,"SANTA ANA",12,"MASAHUAT"
2,"SANTA ANA",13,"SAN ANTONIO PAJONAL"
2,"SANTA ANA",2,"CHALCHUAPA"
2,"SANTA ANA",3,"METAPAN"
2,"SANTA ANA",4,"COATEPEQUE"
2,"SANTA ANA",5,"EL CONGO"
2,"SANTA ANA",6,"TEXISTEPEQUE"
2,"SANTA ANA",7,"CANDELARIA DE LA FRONTERA"
2,"SANTA ANA",8,"SAN SEBASTIAN SALITRILLO"
2,"SANTA ANA",9,"SANTA ROSA GUACHIPILIN"
3,"SAN MIGUEL",1,"SAN MIGUEL"
3,"SAN MIGUEL",10,"SAN JORGE"
3,"SAN MIGUEL",11,"CHAPELTIQUE"
3,"SAN MIGUEL",12,"SAN GERARDO"
3,"SAN MIGUEL",13,"CAROLINA"
3,"SAN MIGUEL",14,"QUELEPA"
3,"SAN MIGUEL",15,"SAN LUIS DE LA REINA"
3,"SAN MIGUEL",16,"NUEVO EDEN DE SAN JUAN"
3,"SAN MIGUEL",17,"NUEVA GUADALUPE"
3,"SAN MIGUEL",18,"ULUAZAPA"
3,"SAN MIGUEL",19,"COMACARAN"
3,"SAN MIGUEL",2,"CHINAMECA"
3,"SAN MIGUEL",20,"SAN ANTONIO DEL MOSCO"
3,"SAN MIGUEL",3,"EL TRANSITO"
3,"SAN MIGUEL",4,"CIUDAD BARRIOS"
3,"SAN MIGUEL",5,"CHIRILAGUA"
3,"SAN MIGUEL",6,"SESORI"
3,"SAN MIGUEL",7,"SAN RAFAEL ORIENTE"
3,"SAN MIGUEL",8,"MONCAGUA"
3,"SAN MIGUEL",9,"LOLOTIQUE"
4,"LA LIBERTAD",1,"SANTA TECLA"
4,"LA LIBERTAD",10,"JAYAQUE"
4,"LA LIBERTAD",11,"HUIZUCAR"
4,"LA LIBERTAD",12,"TEPECOYO"
4,"LA LIBERTAD",13,"TEOTEPEQUE"
4,"LA LIBERTAD",14,"CHILTIUPAN"
4,"LA LIBERTAD",15,"NUEVO CUSCATLAN"
4,"LA LIBERTAD",16,"TAMANIQUE"
4,"LA LIBERTAD",17,"SACACOYO"
4,"LA LIBERTAD",18,"SAN JOSE VILLANUEVA"
4,"LA LIBERTAD",19,"ZARAGOZA"
